Country Name,Country Code,2019
Aruba,ABW,3395798883
Africa Eastern and Southern,AFE,1.01E+12
Afghanistan,AFG,18799444490
Africa Western and Central,AFW,8.26E+11
Angola,AGO,70897962732
Albania,ALB,15585105131
Andorra,AND,3155149348
Arab World,ARB,2.90E+12
United Arab Emirates,ARE,4.18E+11
Argentina,ARG,4.48E+11
Armenia,ARM,13619290539
American Samoa,ASM,647000000
Antigua and Barbuda,ATG,1725351852
Australia,AUS,1.39E+12
Austria,AUT,4.43E+11
Azerbaijan,AZE,48174235294
Burundi,BDI,2576518880
Belgium,BEL,5.37E+11
Benin,BEN,14391686309
Burkina Faso,BFA,16032813503
Bangladesh,BGD,3.51E+11
Bulgaria,BGR,68631726289
Bahrain,BHR,40446808511
"Bahamas, The",BHS,13016200000
Bosnia and Herzegovina,BIH,20482608755
Belarus,BLR,64410122847
Belize,BLZ,2388300000
Bermuda,BMU,7423465000
Bolivia,BOL,40895322844
Brazil,BRA,1.87E+12
Barbados,BRB,5788288000
Brunei Darussalam,BRN,13469235348
Bhutan,BTN,2735683570
Botswana,BWA,16725908149
Central African Republic,CAF,2221301351
Canada,CAN,1.74E+12
Central Europe and the Baltics,CEB,1.69E+12
Switzerland,CHE,7.21E+11
Channel Islands,CHI,10032440928
Chile,CHL,2.78E+11
China,CHN,1.43E+13
Cote d'Ivoire,CIV,60382894697
Cameroon,CMR,39667757528
"Congo, Dem. Rep.",COD,51775829877
"Congo, Rep.",COG,13976637780
Colombia,COL,3.23E+11
Comoros,COM,1195019532
Cabo Verde,CPV,2252177134
Costa Rica,CRI,64417670521
Caribbean small states,CSS,38046955434
Cuba,CUB,1.03E+11
Curacao,CUW,3026124134
Cayman Islands,CYM,5941896608
Cyprus,CYP,26196667100
Czechia,CZE,2.57E+11
Germany,DEU,3.96E+12
Djibouti,DJI,3088853639
Dominica,DMA,611537037
Denmark,DNK,3.45E+11
Dominican Republic,DOM,88941372558
Algeria,DZA,1.93E+11
East Asia & Pacific (excluding high income),EAP,1.72E+13
Early-demographic dividend,EAR,1.18E+13
East Asia & Pacific,EAS,2.70E+13
Europe & Central Asia (excluding high income),ECA,1.50E+12
Europe & Central Asia,ECS,2.30E+13
Ecuador,ECU,1.08E+11
"Egypt, Arab Rep.",EGY,3.19E+11
Euro area,EMU,1.36E+13
Eritrea,ERI,
Spain,ESP,1.40E+12
Estonia,EST,31873748770
Ethiopia,ETH,95912607722
European Union,EUU,1.58E+13
Fragile and conflict affected situations,FCS,1.84E+12
Finland,FIN,2.67E+11
Fiji,FJI,5444407214
France,FRA,2.72E+12
Faroe Islands,FRO,3266432734
"Micronesia, Fed. Sts.",FSM,394000000
Gabon,GAB,16874405465
United Kingdom,GBR,2.85E+12
Georgia,GEO,17638337117
Ghana,GHA,68337969248
Gibraltar,GIB,
Guinea,GIN,13442861496
"Gambia, The",GMB,1813609692
Guinea-Bissau,GNB,1588638854
Equatorial Guinea,GNQ,11364133550
Greece,GRC,2.07E+11
Grenada,GRD,1213485185
Greenland,GRL,2997309972
Guatemala,GTM,77172317259
Guam,GUM,6355000000
Guyana,GUY,5173760192
High income,HIC,5.74E+13
"Hong Kong SAR, China",HKG,3.63E+11
Honduras,HND,24882225742
Heavily indebted poor countries (HIPC),HPC,8.05E+11
Croatia,HRV,61467582194
Haiti,HTI,15016090930
Hungary,HUN,1.64E+11
IBRD only,IBD,3.13E+13
IDA & IBRD total,IBT,3.38E+13
IDA total,IDA,2.50E+12
IDA blend,IDB,1.09E+12
Indonesia,IDN,1.12E+12
IDA only,IDX,1.41E+12
